date_key,date,day_of_week,month,year
20260601,2026-06-01,Monday,6,2026
20260602,2026-06-02,Tuesday,6,2026
20260603,2026-06-03,Wednesday,6,2026
20260604,2026-06-04,Thursday,6,2026
20260605,2026-06-05,Friday,6,2026
20260606,2026-06-06,Saturday,6,2026
20260607,2026-06-07,Sunday,6,2026
20260608,2026-06-08,Monday,6,2026
20260609,2026-06-09,Tuesday,6,2026
20260610,2026-06-10,Wednesday,6,2026
20260611,2026-06-11,Thursday,6,2026
20260612,2026-06-12,Friday,6,2026
20260613,2026-06-13,Saturday,6,2026
20260614,2026-06-14,Sunday,6,2026
20260615,2026-06-15,Monday,6,2026
20260616,2026-06-16,Tuesday,6,2026
20260617,2026-06-17,Wednesday,6,2026
20260618,2026-06-18,Thursday,6,2026
20260619,2026-06-19,Friday,6,2026
20260620,2026-06-20,Saturday,6,2026
20260621,2026-06-21,Sunday,6,2026
20260622,2026-06-22,Monday,6,2026
20260623,2026-06-23,Tuesday,6,2026
20260624,2026-06-24,Wednesday,6,2026
20260625,2026-06-25,Thursday,6,2026
20260626,2026-06-26,Friday,6,2026
20260627,2026-06-27,Saturday,6,2026
20260628,2026-06-28,Sunday,6,2026
20260629,2026-06-29,Monday,6,2026
20260630,2026-06-30,Tuesday,6,2026
